sessions,classical_load,repetition,core_initialization_seconds,participant_startup_seconds,federation_seconds,participant_finish_seconds,simulation_seconds,offline_validation_seconds,simulation_seconds_per_transaction,federation_seconds_per_transaction,background_packets,classical_trace_rows,completed_transactions,distinct_boundary_timestamps,final_federation_ns,final_transaction_ns,ipc_rx_bytes,ipc_rx_lines,ipc_tx_bytes,ipc_tx_lines,synchronization_rounds
4,0.0,5,0.005728803000238258,0.027703177998773754,0.0525474980022409,0.0034635819974937476,0.08944306099874666,0.0029345340008148924,0.022360765249686665,0.013136874500560225,0,68,4,20,8125600,8125600,5308,109,907,52,28
8,0.0,0,0.011263929001870565,0.025311341996712144,0.09754868000163697,0.003580689000955317,0.137704640001175,0.005619834999379236,0.017213080000146874,0.012193585000204621,0,136,8,38,14525600,14525600,10688,211,1746,98,54
64,0.7,9,0.08547715799795697,0.02590170300391037,1.241122491999704,0.0037137919935048558,1.3562151449950761,0.0869881050020922,0.021190861640548064,0.019392538937495374,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
32,0.0,7,0.03669169500062708,0.028743342001689598,0.49425285100005567,0.003685935997054912,0.5633738239994273,0.02615027700085193,0.017605431999982102,0.01544540159375174,0,544,32,146,52925600,52925600,44179,823,6936,374,210
16,0.0,9,0.018698567000683397,0.02577310499327723,0.20475498300220352,0.003575355003704317,0.25280200999986846,0.011590983995120041,0.01580012562499178,0.01279718643763772,0,272,16,74,27325600,27325600,21818,415,3469,190,106
1,0.0,3,0.00238971300132107,0.02492939800140448,0.014449524001975078,0.003516993994708173,0.0452856289994088,0.0009363760036649182,0.0452856289994088,0.014449524001975078,0,17,1,6,3388000,3388000,1367,32,295,17,8
64,0.0,0,0.0786535509978421,0.02884289200301282,0.8322910269998829,0.003843734994006809,0.9436312049947446,0.05707598800654523,0.014744237578042885,0.01300454729687317,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
4,0.0,4,0.006096851000620518,0.02537518100143643,0.050246727994817775,0.0035055610060226172,0.08522432100289734,0.0024573429982410744,0.021306080250724335,0.012561681998704444,0,68,4,20,8125600,8125600,5308,109,907,52,28
8,0.7,1,0.009104445998673327,0.026632244000211358,0.1484542030011653,0.0035550729953683913,0.18774596599541837,0.0077891079999972135,0.023468245749427297,0.018556775375145662,19,269,8,95,23256298,14525600,21761,401,2698,155,111
1,0.7,8,0.0024058880007942207,0.025539376001688652,0.025082020001718774,0.003464549001364503,0.05649183300556615,0.0011478719970909879,0.05649183300556615,0.025082020001718774,4,45,1,18,5599153,3832867,3615,72,490,29,20
64,0.0,4,0.08185570000205189,0.026957433998177294,0.9263687769998796,0.00367605900100898,1.0388579700011178,0.057056336001551244,0.016232155781267465,0.01447451214062312,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
16,0.7,6,0.019312498996441718,0.028285890999541152,0.2929975020015263,0.005563190003158525,0.3461590820006677,0.016258577998087276,0.02163494262504173,0.018312343875095394,35,517,16,179,42090586,27325600,42305,765,5236,295,211
4,0.7,2,0.0069694620033260435,0.029285612996318378,0.0835665760023403,0.003620962001150474,0.1234426130031352,0.004293040998163633,0.0308606532507838,0.020891644000585075,10,138,4,50,12662011,8479039,11027,209,1401,82,58
16,0.7,5,0.019953192000684794,0.040771852000034414,0.30794625300040934,0.003663670002424624,0.3723349670035532,0.019241767993662506,0.023270935437722073,0.019246640812525584,35,517,16,179,42090586,27325600,42305,765,5236,295,211
4,0.0,6,0.005875728005776182,0.02937306199601153,0.051641088000906166,0.0035060989976045676,0.09039597700029844,0.004106263004359789,0.02259899425007461,0.012910272000226541,0,68,4,20,8125600,8125600,5308,109,907,52,28
8,0.0,5,0.011274552998656873,0.027347504001227207,0.11349838999740314,0.0035306440040585585,0.15565109100134578,0.006886215996928513,0.019456386375168222,0.014187298749675392,0,136,8,38,14525600,14525600,10688,211,1746,98,54
16,0.7,1,0.02213076999760233,0.02752833200065652,0.3170872449991293,0.0035732040050788783,0.37031955100246705,0.020060155999090057,0.02314497193765419,0.019817952812445583,35,517,16,179,42090586,27325600,42305,765,5236,295,211
1,0.0,1,0.002582772998721339,0.028002324004773982,0.015096269999048673,0.0035267729981569573,0.04920814000070095,0.0008746769963181578,0.04920814000070095,0.015096269999048673,0,17,1,6,3388000,3388000,1367,32,295,17,8
32,0.0,6,0.04254540999681922,0.028391466003085952,0.4205039009975735,0.003996828003437258,0.49543760500091594,0.026422773997182958,0.015482425156278623,0.013140746906174172,0,544,32,146,52925600,52925600,44179,823,6936,374,210
8,0.7,9,0.009313303999078926,0.029062435998639558,0.16789989999961108,0.003662795999844093,0.20993843599717366,0.007403139999951236,0.026242304499646707,0.020987487499951385,19,269,8,95,23256298,14525600,21761,401,2698,155,111
16,0.7,7,0.13908417300262954,0.029471105997799896,0.30534488299599616,0.003552488000423182,0.4774526499968488,0.018181989005825017,0.02984079062480305,0.01908405518724976,35,517,16,179,42090586,27325600,42305,765,5236,295,211
16,0.7,8,0.02224100800231099,0.028049788998032454,0.3000581919986871,0.003818019999016542,0.3541670089980471,0.01928872600547038,0.022135438062377943,0.018753636999917944,35,517,16,179,42090586,27325600,42305,765,5236,295,211
8,0.7,7,0.01345488600054523,0.02639853800064884,0.15816117900249083,0.0035184489970561117,0.201533052000741,0.009017967000545468,0.025191631500092626,0.019770147375311353,19,269,8,95,23256298,14525600,21761,401,2698,155,111
